year,region,sido_tag,area_tag,total,male,female
2000,서울특별시,1,M,10311314,5166605,5144709
2000,부산광역시,1,S,3796506,1897050,1899456
2000,대구광역시,1,S,2524253,1268348,1255905
2000,인천광역시,1,M,2545769,1284769,1261000
2000,광주광역시,1,S,1371909,681570,690339
2000,대전광역시,1,M,1385606,695881,689725
2000,울산광역시,1,S,1040225,533559,506666
2000,경기도,2,M,9219343,4658523,4560820
2000,강원도,2,M,1554688,781133,773555
2000,충청북도,2,M,1497513,752953,744560
2000,충청남도,2,M,1921604,966413,955191
2000,전라북도,2,S,1999255,993967,1005288
2000,전라남도,2,S,2130614,1061959,1068655
2000,경상북도,2,S,2797178,1401512,1395666
2000,경상남도,2,S,3094413,1548720,1545693
2000,제주도,2,S,542368,269126,273242
2010,서울특별시,1,M,10312545,5111259,5201286
2010,부산광역시,1,S,3567910,1773170,1794740
2010,대구광역시,1,S,2511676,1255245,1256431
2010,인천광역시,1,M,2758296,1390356,1367940
2010,광주광역시,1,S,1454636,721780,732856
2010,대전광역시,1,M,1503664,753648,750016
2010,울산광역시,1,S,1126298,579071,547227
2010,경기도,2,M,11786622,5942454,5844168
2010,강원도,2,M,1529818,769807,760011
2010,충청북도,2,M,1549528,781301,768227
2010,충청남도,2,M,2075514,1049363,1026151
2010,전라북도,2,S,1868963,931481,937482
2010,전라남도,2,S,1918485,958624,959861
2010,경상북도,2,S,2689920,1351202,1338718
2010,경상남도,2,S,3290536,1656042,1634494
2010,제주도,2,S,571255,285582,285673
2020,서울특별시,1,M,9668465,4701723,4966742
2020,부산광역시,1,S,3391946,1661000,1730946
2020,대구광역시,1,S,2418346,1193109,1225237
2020,인천광역시,1,M,2942828,1473943,1468885
2020,광주광역시,1,S,1450062,717348,732714
2020,대전광역시,1,M,1463882,730699,733183
2020,울산광역시,1,S,1136017,583708,552309
2020,경기도,2,M,13427014,6754469,6672545
2020,강원도,2,M,1542840,776505,766335
2020,충청북도,2,M,1600837,811591,789246
2020,충청남도,2,M,2121029,1082634,1038395
2020,전라북도,2,S,1804104,896874,907230
2020,전라남도,2,S,1851549,930615,920934
2020,경상북도,2,S,2639422,1329211,1310211
2020,경상남도,2,S,3340216,1681423,1658793
2020,제주도,2,S,674635,338609,336026
